Gregory J. Wolff,2,111
Aaron McGaffey,1,7
Aaron Saarela,1,0
Guido van Rossum,1,1
Aaron Soloman,1,0
Gunilla Alsi&#246;,1,9
Gustav Tax&#233;n,2,83
Guy A. Boy,3,7
Guy Boy,2,0
Guy Vaysseix,1,45
Abbe Don,4,41
Abby Lal,1,4
Shiro Ozawa,1,2
H. Bouma,1,0
H. R. Hartson,2,10
H. Rex Hartson,6,49
Sageev Oore,1,0
H. W. Lie,1,0
H. Nieper-Lemke,1,24
Abhishek Ranjan,1,5
Abigail J. Sellen,5,273
Abigail Sellen,2,50
H. Raffler,1,0
H. D. M. Westerink,1,0
Hagan Heller,1,1
Hajime Nonogaki,2,9
Hank Kahney,1,11
Adam Marx,1,5
Harald Weinreich,3,37
Haresh Sabnani,1,2
Harold Hambrose,1,4
Harold H. Miller-Jacobs,3,5
Harold L. Ossher,1,3
Harro Vons,1,3
Harry Bruce,2,29
Harry G. George,1,14
Harry Marks,1,1
Harry J. Saddler,2,1
Harry Tennant,1,0
Hartmut Dieterich,1,0
Haruhiko Nishiyama,2,3
Haruo Oba,2,64
Harutune H. Mikaelian,1,53
Hazen Reed,1,1
Heather Desurvire,4,66
Heather A. Heathfield,1,0
Heather Eccleston Hunter,1,11
Heather Martin,1,53
Hector J. Moll-Carrillo,1,4
Hee Sen Jong,1,4
Heidi Reeder,1,12
Heiko Sacher,1,0
Heinrich Schwarz,2,39
Heinz-Dieter B&#246;cker,2,2
Helmut Prendinger,1,16
Henrik Fagrell,2,0
Henrik Gater,1,0
Henrik Thovtrup,1,15
Henry Been-Lirn Duh,2,2
Henry H. Emurian,1,3
Adrian Bullock,2,6
Herbert H. Clark,2,23
Herbert L. Colston,1,3
Herbert D. Jellinek,1,17
Herbert Jellinek,1,37
Hermann de Meer,1,0
Hermina J. M. Tabachneck,1,0
Hesham M. Kamel,3,12
Hewitt D. Crane,1,0
Hidekazu Matsumoto,1,3
Adrian Pickering,1,1
Hideo Shimazu,3,5
Hideyuki Nakanishi,2,45
Hilary Packer,1,13
Hiroaki Hasegawa,1,0
Hironobu Takagi,1,8
Adriana Vivacqua,1,23
Hiroshi Shojima,1,10
Hiroshi Taninaka,1,0
Adrienne Lee,1,0
Adrienne Warmack,1,1
Hitomi Taguchi,1,19
Hitoraka Uoi,1,12
Holger Schn&#228;delbach,4,71
Holly Trask,1,7
Howard Abrams,1,0
Howard Xu,1,0
Hsiang Tseng,1,74
Hsin-Hui Sung,1,1
Hsin-Kai Wu,1,9
Hugh C. Davis,1,3
Hugo J. Strubbe,1,9
Hus Su,1,35
Huw Dawkes,3,42
Ahmed Ghali,1,47
Ahmet E. &#199;akir,2,1
I. Iwai,1,1
I. Kaplan,1,1
I. Lambert,1,0
Aidan Smith,1,0
Aileen Worden,1,84
I. M. Verstijnen,1,0
Ian Curson,2,0
Ian Small,1,30
Ilkka Kuuluvainen,1,3
