dinah,1,0
advocacy,1,0
activity history,1,2
digital photograph,1,35
group processes,1,0
food and drink,1,3
free-space pointing,1,0
fnirs,3,1
resource delivery systems,1,0
creativity intervention,1,0
jfc,1,0
perceptive quality,1,0
modification of methodology,1,0
usability recommendation,2,1
personalized user experience,1,1
help delivery mechanisms,1,2
overplotting,1,4
cognitive workload,1,0
users' in-game behavior,1,0
home system,1,0
disabilities,4,8
content representation,1,0
trauma resuscitation,1,1
drawing,14,115
user adaptability,1,23
context-awareness,14,322
notification cues,1,0
digital tv,1,3
quantitative analysis,1,0
cognitive modes and strategies,1,1
web-based services,2,27
interaction history,2,94
internet censorship,1,0
laugh enhancement,1,0
event handling,1,8
everyday design,2,8
scaleability,1,0
hci practice,2,1
semantic zoom,2,13
physical activity interfaces,1,3
framing effect,1,3
mobile browsers,1,71
human navigation,1,0
human factor,1,0
automated planning and scheduling,1,0
field experiments,1,2
digital memory,1,17
digital reference,1,27
behavior intervention,1,12
nested circles,1,4
biometric technologies,1,1
classroom communication,1,0
consumption,3,0
mouse pointer,2,35
remote interaction,5,95
multi-machine user interface,1,3
police patrol,1,5
empirical comparison,1,36
sense of presence,1,70
muds,4,45
composition,4,47
musical mapping,1,3
projection screen,1,21
design rules,1,1
graphical interface,1,4
eye contact sensing,1,8
activity patterns,1,1
bereaved,1,2
activity-centered design,1,10
digital community poster boards,1,13
key frames,1,0
display-based,1,5
time-dependent data,1,5
exercise adherence,1,0
pressure and tilt sensors,1,121
product reviews,1,4
spectators,4,85
story creation,1,0
oral cultures,1,0
multimedia experiment,1,6
physical environment,2,5
anterograde amnesia,1,16
multimodal mobile communication,1,0
analytic versus empirical evaluation,1,1
editable search results,1,0
boundary objects,2,4
soft keyboards,1,68
non-invasive neuroimaging,1,3
hospitals,1,2
masters' programs,1,0
air cannon,1,5
local connection ui,1,1
cross-device user interfaces,1,13
emotion recognition,7,14
interaction histories,2,64
country differences,1,0
influence strategies,1,0
icons,13,47
playful interaction,1,10
native people,1,0
experimental methods,2,24
experience strategy,4,8
field study methodology,1,5
widescreen design,1,0
computer chamber music,1,0
pay-per-click,1,0
senior-centered design,1,0
agile teams,1,4
souvenir,1,0
multi-user interactivity,1,0
smart control room,1,2
folklore,1,5
flipping,1,7
expert reviews,1,4
interactive book,1,6
mobile and wireless applications,1,22
internet relay chat,1,2
target-aware,1,0
location-enhanced application,1,4
stress factors,1,0
user interface software,9,145
affective behavior,4,4
memorability,3,16
control-display gain,2,8
menu design,4,71
seam-aware interfaces,1,16
pictive,3,8
social responses to technology,3,37
co-located cooperation,1,0
environmental user interface design,1,0
social media application,1,0
filters,1,0
collaborative web authoring,1,0
design reviewing,1,1
multiple foci,1,0
dialog boxes,1,0
face mark,1,3
natural language,15,100
space,5,30
ebook reader,1,0
computational journalism,2,3
embedded analytics,1,1
spoken dialogue system,1,3
construction,1,13
user interfaces and/or trees,1,3
radial direction,1,0
relative performance,1,20
horizontal display,1,13
user centered activities,2,3
passive training,1,0
recall,1,11
piccolo,1,33
power usage,1,1
animated agent,1,0
interactive intelligence,1,0
movement scale,2,26
warning,1,0
manufacturing,1,0
task-switching,1,3
cultural applications,1,7
task-based interface,1,0
voting application,1,1
multimedia messaging,2,55
laser-pointer,2,3
cd-rom games,1,14
ecological interfaces,1,0
associative information retrieval,1,9
sharing memories,1,0
human-computer interaction (hci),3,2
laser rangefinder,1,6
digital archives of dances,1,4
slicing,1,10
presentation of safety-critical information,1,2
parent-child interaction,1,0
user interface prototyping,1,1
cross media,1,0
empathetic interface,1,13
video technologies,1,1
meta-community,1,0
transparent display,1,4
embodied conversational agents,3,6
embedded,1,0
spatial interfaces,1,0
pen stroke gestures,1,11
navigation control,1,0
gaming,3,11
bezel,1,22
stylus keyboard,1,1
learning technologies,7,9
exudation,1,0
rollover effect,1,4
disagreement,1,4
optical character recognition,1,0
fluid user interfaces,1,16
memory prosthesis,2,3
organizational study,1,2
d-touch,1,1
media control,1,5
believability,3,8
user conceptual models,1,3
instrument,1,6
pervasive,2,3
display-less device,1,1
massively-multiplayer,1,10
recognition errors,3,137
digital libraries,18,253
semantic network,1,0
high school youth,1,0
hardware simulation,1,0
its,1,0
health-related behavioural change,1,0
teachers,1,0
touch-based interaction,1,0
meeting schedulers,1,0
gaze-based interaction,2,1
finger-based touch input,1,0
streamlines,1,2
visual distraction,1,0
vlsi editor,1,0
research ethics,1,0
iso,2,18
iss,1,0
cluster annotation,1,12
web mining,1,16
iso 9241 standard,1,49
computer suppoerted cooperative work,1,0
non-desktop interfaces,1,0
change of environment.,1,0
scattered data,1,2
music browser,1,7
multimedia indexing,2,7
interaction architecture,1,0
predictive text entry,2,0
monolingual,2,2
ivr,2,19
school uniform recycling,1,0
dynamic buttons,1,10
4d-cad,1,0
universal accessibility,1,0
movement mechanics,1,0
attentive user interfaces,13,105
iconnect,1,0
competitive tests,1,0
dialogue modelling,1,7
syntactic knowledge,1,9
computer-illiteracy,1,3
emergence,1,1
mobile device usability observation infrastructure,1,4
e-reader,1,0
physical-digital coupling,1,5
adaptable and adaptive interfaces,1,2
design managment,1,0
accessor,1,5
computer productivity,1,0
human context,1,0
security monitoring,1,0
emergency,2,10
usability guidelines,2,2
gesture-based interfaces,1,0
at-risk children,1,0
triage,1,0
hci interactions,1,0
friends,2,18
community grid,1,2
weight-shift,2,2
force-feedback,3,33
music mixing interfaces,1,1
scientific groupware,1,2
multi-touch alignment guides,1,0
visual hull,1,0
neuroinformatics,1,17
distinctness,1,5
digital pen and paper,1,12
self care,1,0
concept technology,1,4
large information structures,1,75
naive bayes,1,0
charting,1,0
sensory manipulation,1,12
information access and organization,1,31
medical device security,1,3
access technology,1,5
speech interface,2,21
consumer market,1,0
on-line learning,1,0
long term care,1,0
walking,3,20
speech modality,1,0
dominance,1,7
representation effect,2,2
perceived software quality,1,46
active tangibles,1,0
semi-immersive environment,1,33
outeraction,1,0
drooling,1,0
speech interaction,2,2
user surveys,1,9
context-aware interfaces,1,2
t-stick,1,0
environmentalism,1,6
computer telephony integration,1,1
data base,1,0
irc,2,113
text chat tools,1,0
transformations,1,6
teleradiology,1,0
functional near infrared spectroscopy,1,0
awareless,1,1
touchpad,4,75
creativity evaluation,1,0
novice learning and usability,2,13
concept clustering,1,7
annotation,37,513
semiotics,5,3
layout specification,1,9
heading labels,1,21
pictorial mood,1,0
developing regions,6,28
disappearing user interfaces,1,10
wireless sensing,3,17
expanding rehearsal,1,16
artefacts,1,3
data collection,6,12
brain-body interfaces,2,6
chinese keypad,1,1
paper applications,1,1
work modeling,8,5
system acceptability,1,69
time-compression,1,25
visual research methods,1,1
modeling of motor performance,1,6
semantic zoomingblutwurst,1,42
vlbw infants,1,0
transaction cost,1,23
dance,4,8
ranking,1,2
corporate environment,3,4
culture,25,109
medical user interfaces,2,1
complexity,2,9
stress monitoring,2,4
mouse-over,1,1
usability techniques,2,21
usability engineering programs,1,0
virtual teams.,1,0
kids software,1,13
digital imaging,1,0
pervasive computing,14,90
webquest,1,1
test-driven development,1,0
feminist interaction,1,0
on-body interfaces,1,0
automation,9,91
motional input device,1,0
online interaction,1,21
home applications,1,4
spoken feedback,1,12
non-mobile context,1,2
spatial positioning as representations,1,3
dual joystick,2,10
peak performance,1,0
diaspora,1,2
rajasthan,1,18
ui transitions,1,0
paper prototyping,6,16
paper-like interfaces,2,65
security tools,1,4
design requirements,3,101
startups,1,0
contextual study,1,7
<sc>pda</sc>,1,19
interactive workspace,1,1
personal electronic notebook,1,1
oneness,1,1
organizational profiles,2,9
mobile payments,1,0
social science,1,75
retractable string-based input,1,3
knowledge networks,1,27
ixd,1,0
desktop environment,1,6
novice programming,1,9
collaborative virtual environment,2,1
characters,1,4
diagram languages,1,5
bimanual input,4,92
hangul,3,2
temporal presentation,1,0
self-report,2,4
character design,1,4
live broadcast,1,0
airflow hazards,1,2
self-service technology adoption and use,1,0
negative reinforcement,1,0
representative panel,1,2
ecology,2,0
making,1,0
neural network,2,6
artificial subtle expressions (ases),2,1
site visits,1,1
error correction,3,4
game balance,1,0
web site,2,0
time and duration,1,0
artistic shape creation,1,33
focus plus context screens,3,65
bootstrap alliance,1,0
user survery,1,1
rapid iterative testing and evaluation (rite),1,0
oscillatory motion,2,3
opposition space,1,0
headsets,1,2
family-oriented interaction,1,1
non-visual interaction,8,64
deliverables,1,0
locative media,1,10
standards and guidelines,1,8
design styles,2,11
street sweepers,1,10
value tensions,1,1
data gathering,1,5
sustainbility,1,0
phicon,2,153
electromagnetic tracking sensor,1,7
virtual video director,1,15
e-banking,1,13
long-term interactions,1,0
editor extensibility,1,16
modality,6,28
map interaction,1,4
discovery,3,43
luminous-tangible interface,1,4
electronic democracy,1,0
portable computers,4,330
virtual docking task,1,11
3d shared workspaces,1,4
<sc>cscw</sc>,1,19
user-interface agent,1,2
current state analysis,1,6
interaction design research,2,38
phatic technology,1,0
predicting end-users experience,1,0
interactive surface,12,163
digital ink,3,49
interactive experiences,1,0
product support,2,0
citizen participation,1,0
menu tree,1,2
emerging regions,1,0
slideware,1,1
user structuring,1,47
ninja cursors,2,3
qualitative user data analysis,1,14
visual marker design,1,8
medical visualization,1,0
bio-signal,1,18
body awareness.,1,5
good continuation,1,1
patient-provider communication,1,0
tilt menu,1,9
video explorer,1,1
body,2,14
learners,1,4
online health communities,1,1
technology abandonment,2,6
sigchi,8,3
social factors,3,43
product launch and marketing,1,4
poole-rosenthal,1,0
online sources,1,0
endpoint deviation,1,0
mark-based input,1,11
elliptic gestures,1,2
editing,6,107
information workspace,2,121
summative testing,1,3
meetings,3,4
hand-drawn interface,1,4
auditory-enhanced widgets,1,25
critical design,5,7
multi-device,1,1
organization,6,3
automatic speech recognition (asr),1,6
reading comprehension,1,0
volunteer coordination,1,0
games and education,1,0
composites,1,3
sigcaph,1,0
audio,28,520
communication,68,450
user-content interaction,1,6
culinary,2,1
operation task,1,2
cognitive models,28,214
network diversity,1,3
content creation,2,9
suit,1,1
facebook fatigue,1,2
enterprise work setting,1,7
disabled,4,4
internet communications,1,0
contemporary dance,1,0
designer behavior,1,0
interaction concept design,1,1
m4d,1,0
korean americans,1,0
in-car telematics,1,3
swept volumetric display,1,0
observational attachments,1,6
user experience design / experience design,1,0
visualization,159,1613
canonical correlation analysis,1,0
novice users,1,0
simulations,6,20
instant messaging,37,358
embedded assessment,2,0
localisation,1,15
cost-justification,4,6
resilience engineering,1,0
musical instrument digital interface (midi),1,1
agents and intelligent systems,3,2
media effects,2,4
lexical entrainment,1,3
emotion,46,207
liquid layout,1,0
mutual-aid groups,1,0
knowledge repository,1,0
d&#233;tournement,3,85
study methods,1,0
clinical workflow,2,2
printed and electronic text,1,0
keypad input,6,191
selection technology,1,53
f-test,1,0
tx-2,1,2
neurorehabiliation,1,5
memory skills,1,0
pictures,3,1
sustainability; community,1,0
algorithm,1,0
verbalization,3,15
gopher,1,2
help systems,2,25
user experience,136,349
lightpainting,1,0
clinical,1,1
automated test generation,1,14
total access system,1,5
domain specific design,1,0
stigma,2,1
texting,2,0
relative positioning.,1,0
object dragging,1,6
information accuracy,1,2
co-ordination,1,3
snapping,1,14
ergonomics,11,23
athletic/ kinesthetic interaction,1,6
input and interaction,1,0
smart products,1,0
information types,1,6
online transaction,1,0
everyday task,1,33
visual language,7,107
laser pointer,3,31
in-home and at-school technology use,1,0
swabbing,1,0
mobile participatory sensing,1,10
practical techniques,5,1
voice imitation,1,1
equity,1,0
segmentation,2,4
progress indicators,1,33
hardware software integration,1,7
task flows,1,1
facebook,14,71
mobile storytelling,1,0
user experience team,1,4
text messaging,8,105
news discourse,1,0
work ontology,3,6
auditory displays,1,0
way-finding,1,0
google map,1,0
controller,3,9
wired world,1,4
social consequences,1,0
usability politics,1,0
lens-sharing,1,0
6dof,2,8
3d geometry,1,0
brain neighborhood viewer,1,1
industrial films,1,0
remote gesture,1,0
alternative object states,1,15
skipping,1,20
user behaviour,3,59
team spirit,2,19
gaze gesture,1,0
computer science education,3,42
salvaging,1,59
scaffolding,11,65
non-verbal communication,4,6
functional substitutability,1,1
klm,1,32
hyperlingual,1,1
population distribution,1,0
graph visualization,3,29
coherence,1,1
heuristic evaluations,1,4
trackballs,1,16
therapeutic play,1,1
sound mixing,1,0
brain,2,6
cognitive decline,1,1
touch-sensing devices,1,31
ubiquitous user interfaces,1,2
ensemble classifiers,1,3
gesture input,13,215
community interaction,1,0
qualitative methods,10,77
vibrotactile feedback,4,0
prisoner's dilemma,2,25
incentive-centered design,1,0
group walkthroughs,1,23
banner blindness,1,0
web interfaces,2,2
verbal protocols,1,2
sensory substitution,3,1
journal studies,1,0
tele-conferencing,1,21
sensor data pedagogy,1,0
probes,3,43
headphone,1,6
recurrence rate,1,26
embodied characters,1,2
bricks,1,7
p2p backup,1,4
team building,1,11
smart homes,4,39
evaluation method,4,5
neurological,1,1
paper display,1,0
mechanical turk,10,93
intercultural,1,0
multitap,3,9
end user license agreement,1,7
web search task,1,51
java technology,1,6
assisted reading,1,1
real time search,1,1
user trials,2,0
location prediction,1,0
grounded theory,6,18
large-scale display interaction,1,4
experimental study,3,11
virtual sound space,1,5
psn-elderly,1,2
integration and access of multimedia,2,58
real worlds,1,1
physical user interfaces,1,0
timing,2,11
wordcomplete,1,7
mobile games,4,27
medical interfaces,1,0
ethnographic methods,1,5
human computation game,1,1
ecommerce,3,39
labels,3,11
hapticons,1,20
driver information systems,4,8
habitat,1,0
mouse augmented display,1,0
acting out security,1,0
ambient intelligence,9,103
web navigation histories,1,2
machine vision,3,32
memory awareness,1,0
display-based interaction,2,13
call recommendation,1,0
palmpilot,2,94
mechanics of collaboration,1,26
engineering,5,0
computer supported collaborative learning (cscl),2,68
augmented object,1,0
barometric,1,10
dynamic events,1,0
fiducial recognition,1,8
tele-robotics,1,21
cooperation and conflict,1,55
3g,5,20
cross-media study,1,19
user-centered design / human-centered design,5,1
3d,15,101
voice recognition,2,12
scribble,1,2
multiple-user interface,1,3
ethnographic analysis,1,0
elders,3,18
medical practice,1,0
field archaeology,1,1
regression,1,0
video conferencing,20,130
audioconferencing,1,2
typewriter,1,0
usability requirements model,1,0
expectations,1,1
newton messagepad,1,18
collaborative workspaces,2,7
cultural studies,2,35
speaking,1,0
top-level algorithm,1,4
multi-channel pointing,1,7
platform independent user interfaces,2,2
web queries,3,5
graduate programs in hci,1,0
pick-and-drop,2,63
visual codes,3,87
information circulation,1,0
mobile capture and access,1,56
profile images,1,0
spoken web,1,0
google,1,1
web browser,7,13
proprioception,1,0
meeting browser,1,0
mobile application,3,0
designing in user's experiential system,1,0
image classification,1,2
assistive technology.,1,1
human information behavior,1,29
smartphones,3,15
access,3,10
post-wimp interaction,1,0
cd-rom,3,0
genetics,2,54
symbolic representation,1,10
swarm interaction,1,1
music information retrieval,1,0
developing nations,1,23
document design,2,1
brand,1,0
novel interactive systems,1,2
driver safety,1,0
qualitative study,8,41
hypertext navigation,2,19
creative methods,1,0
multiple cursors,2,12
circuit switching,1,0
compliance,3,8
online handwriting recognition,1,4
accounting information systems,1,0
pre-speech vocalizations,1,0
wearable haptics,1,0
cpoe,2,7
ethenographical approach,1,1
motor control,11,284
auditory priming,1,0
multiple video streams,1,5
gesture design,1,0
abstracted information spaces,1,1
magic lenses,1,4
pobox,1,32
older adult,2,14
friend,1,19
context+focus,1,0
thoughtfulness,1,0
stroke rehabilitation,3,8
information architecture,26,41
virtual reality learning environment (vrle),1,0
input design,1,6
search interfaces,2,25
notification user interfaces,1,3
wireless phone,1,1
multiple mice,2,62
in-vehicle information systems,3,5
tv watching,1,19
pupil light reflex,1,0
incidental information,1,8
and audio-head motion features,1,0
user research methods,1,5
statistical machine learning,2,47
rules,2,25
xbox360,1,10
video browsing,9,171
manual,2,2
retro-reflective projection technology,1,0
customer-focused design,1,5
digital devices,1,0
