cellId,lat,lon
2.30261,34.03151,-118.43138
2.30262,34.0238,-118.42454
2.30263,34.02486,-118.42957
2.30291,34.05078,-118.44863
2.30292,34.04586,-118.44608
2.31841,34.08112,-118.47301
2.31842,34.07998,-118.46917
2.33921,34.04084,-118.46192
2.33923,34.03687,-118.46762
2.34202,34.03223,-118.44369
2.34502,34.04789,-118.46253
2.34503,34.04316,-118.4687
2.36072,34.01042,-118.44751
2.36471,34.06871,-118.46309
2.36472,34.06009,-118.45581
2.36473,34.06517,-118.46061
2.39061,34.03015,-118.44119
2.39102,34.02733,-118.44864
2.39103,34.02703,-118.45632
2.60881,34.04153,-118.43999
2.60882,34.03749,-118.44005
2.60883,34.04111,-118.44222
2.61702,34.04452,-118.45309
2.61703,34.0417,-118.45478
2.61712,34.03158,-118.44425
3.02494,51.45544,-0.97997
3.04037,51.46292,-1.00443
3.04038,51.47297,-1.0407
3.05206,51.39965,-0.99281
3.07684,51.44937,-0.98913
3.07686,51.42204,-1.01558
3.11026,51.4369,-1.00243
3.11027,51.41853,-0.99549
3.16559,51.50452,-1.11779
3.1656,51.49296,-1.10688
3.18528,51.46039,-0.9989
3.18529,51.45713,-0.9956
3.19013,51.45857,-0.97062
3.19016,51.46003,-0.97857
4.00191,47.21312,38.92647
4.00192,47.21204,38.91308
4.00193,47.22234,38.91649
4.00231,47.22713,38.87026
4.00232,47.21997,38.87492
4.00233,47.24245,38.88538
4.00261,47.63439,38.86941
4.00263,47.56958,38.862
4.00272,47.20645,38.94521
4.02212,47.24229,38.88035
4.02233,47.2221,38.89522
4.02421,47.30869,39.12319
6.00377,51.49418,-0.43917
6.00384,51.49488,-0.45198
6.00613,51.49264,-0.46029
6.01539,51.50985,-0.14134
6.02938,51.50613,-0.14802
6.02948,51.51588,-0.154
6.0295,51.51461,-0.15466
6.06152,51.50864,-0.13582
6.06167,51.50626,-0.14327
6.06441,51.50834,-0.15362
6.06453,51.5124,-0.15343
6.06459,51.51234,-0.15558
6.07149,51.51617,-0.15743
6.07152,51.51681,-0.15636
6.07164,51.51791,-0.15568
6.0717,51.50764,-0.13846
6.07951,51.51348,-0.15662
6.08677,51.50763,-0.14306
6.08746,51.50504,-0.14565
6.09342,51.50864,-0.142
6.10239,51.5122,-0.16168
6.11164,51.514,-0.14894
6.11169,51.51274,-0.14947
6.12924,51.51054,-0.14001
6.16918,51.51514,-0.1544
6.33278,51.49441,-0.425
6.35824,51.48955,-0.43164
6.35825,51.47972,-0.42182
6.35826,51.47916,-0.43969
6.38054,51.49517,-0.46425
6.50381,51.48202,-0.44508
6.50382,51.47894,-0.44464
6.50383,51.48141,-0.45271
6.51804,51.49355,-0.47411
7.02613,36.75261,26.98184
7.02651,37.34868,26.57367
7.02652,37.31139,26.55128
7.02653,37.58121,26.23253
7.02656,37.32104,26.5475
7.02772,37.37645,26.80072
7.02792,37.61947,26.29206
7.08972,37.68579,26.93673
7.22942,37.3779,26.73273
7.22963,37.10652,26.81827
7.29143,37.35275,26.72551
7.6388,37.32409,26.54147
9.01239,51.33705,-0.11244
9.0124,51.33495,-0.12097
9.01523,51.4079,-0.10675
9.01524,51.39707,-0.09773
9.03281,51.39313,-0.09111
9.03552,51.34657,-0.09747
9.03553,51.34066,-0.10524
9.09968,51.32459,-0.13214
9.09969,51.32364,-0.1305
9.0997,51.31698,-0.14318
