source,target
24127.00111,24127.02421
5188.40811,24127.02421
5188.40332,5188.40811
5188.40782,5188.40811
5188.40332,5188.40782
5182.43861,5188.40811
5188.40811,5188.40863
5187.41802,5188.40811
5188.40762,5188.40811
5188.40783,5188.40811
5188.40811,5188.42171
5188.40762,5188.42171
5188.40763,5188.40811
5188.40793,5188.40811
5188.40793,5188.40863
5188.40331,5188.40332
5188.40312,5188.40331
5188.40312,5188.40333
5188.40333,5188.43642
5188.40312,5188.43642
5188.40313,5188.43642
5188.40311,5188.43642
5188.40311,5188.40331
5188.40331,5188.60291
5188.43031,5188.60291
5188.44153,5188.60291
5187.41801,5188.44153
5187.41462,5187.41801
5187.40401,5187.41462
5187.41462,5188.60291
5187.40321,5188.60291
5187.40321,5187.40323
5187.40323,5187.43122
5187.43122,5187.43123
5187.41462,5187.43123
5187.41462,5187.41463
5187.41463,5187.41732
5187.41463,5187.43741
5187.43741,5187.43742
5187.43742,5187.43743
5187.41463,5187.43743
5187.41803,5187.43743
5119.40341,5119.40342
5119.40342,5119.60292
5119.40342,5119.43032
5119.40341,5119.60292
5119.40811,5119.60292
5119.40342,5119.40811
5119.40333,5119.40342
5119.40333,5119.60292
5119.40342,5119.40801
5119.40333,5119.40811
5119.40811,5119.40813
5119.40813,5119.60292
5119.43032,5119.60292
5119.40332,5119.43032
5119.40332,5119.40811
5119.40811,5123.40863
5119.40793,5119.40811
5119.40811,5123.42253
5119.40332,5119.40333
5119.40333,5119.43032
5119.40332,5119.60292
5119.40811,5119.46361
5119.42171,5119.46361
5119.40332,5119.42171
5119.40332,5119.40342
5119.40793,5119.42161
5119.42161,5119.42171
5119.42161,5123.42253
5123.40863,5123.42253
5123.40861,5123.40863
5119.42161,5123.40861
5119.42161,5119.46361
5119.42161,5119.46063
5119.46063,5119.46361
5119.42171,5119.46063
5119.40793,5119.46063
5119.40332,5119.46361
5119.42161,5123.40863
5119.40792,5119.42161
5119.40792,5123.42253
5123.40473,5123.42253
5119.43642,5123.40473
5119.40811,5119.43642
5119.46361,5119.60241
5119.40332,5119.60241
5119.40792,5119.46361
5119.40792,5119.40811
5119.40332,5119.40793
5119.40783,5119.40811
5119.60241,5123.40863
5119.46361,5123.42253
5119.42161,5119.60241
5119.40332,5119.42161
5119.40811,5123.40473
5123.40473,5123.40863
5119.40342,5119.40813
5119.40332,5119.40813
5119.40811,5123.40763
5123.40763,5123.48732
5123.40352,5123.40763
5119.40791,5123.40763
5119.40791,5119.40793
5119.40793,5123.40763
5119.40892,5123.40763
5119.40891,5119.40892
5119.40891,5119.60293
5113.40402,5119.60293
5113.40402,5131.40872
5131.40872,5131.46231
5131.46231,5131.46233
