cellId,areaId,lat,lon,phones,isNew
6.00384,6,51.49488,-0.45198,73,
6.00613,6,51.49264,-0.46029,73,
6.35825,6,51.47972,-0.42182,73,
6.35826,6,51.47916,-0.43969,73,
6.38054,6,51.49517,-0.46425,73,
6.50382,6,51.47894,-0.44464,73,
6.50383,6,51.48141,-0.45271,73,
6.51804,6,51.49355,-0.47411,73,
7.05202,7,0,0,73,
7.05203,7,0,0,73,
7.05204,7,0,0,73,
7.4902,7,0,0,73,
7.49021,7,0,0,73,
7.49022,7,0,0,73,
20.05217,20,51.56088,-0.53134,73,
20.05218,20,51.55142,-0.52203,73,
20.05221,20,51.60028,-0.53062,73,
20.12645,20,51.64709,-0.5028,73,
20.12646,20,51.63583,-0.49531,73,
20.12647,20,51.6356,-0.51026,73,
20.12952,20,51.66983,-0.48783,73,
20.32938,20,51.62777,-0.52155,73,
20.32939,20,51.61158,-0.52118,73,
20.40144,20,51.58464,-0.53506,73,
20.40146,20,51.57119,-0.53498,73,
20.40584,20,51.53247,-0.4945,73,
20.44217,20,51.66049,-0.49415,73,
20.44454,20,51.65248,-0.49718,73,
20.51573,20,51.541945,-0.508265,73,true
25.05236,25,51.7121,-0.42558,73,
25.12608,25,51.71128,-0.30948,73,
25.12609,25,51.7103,-0.34275,73,
25.18708,25,51.67936,-0.45492,73,
25.18709,25,51.67288,-0.46395,73,
25.1871,25,51.67223,-0.47922,73,
25.35265,25,51.71319,-0.27105,73,
25.35266,25,51.71423,-0.29082,73,
25.36253,25,51.69671,-0.43965,73,
25.36254,25,51.68953,-0.43435,73,
25.36255,25,51.68397,-0.44788,73,
25.40296,25,51.71834,-0.36703,73,
25.40307,25,51.70568,-0.43649,73,
25.40308,25,51.70081,-0.44505,73,
25.40892,25,51.71195,-0.29005,73,
25.47307,25,51.71334,-0.39376,73,
25.4732,25,51.71305,-0.4084,73,
25.47333,25,51.71327,-0.41815,73,
25.47834,25,51.71598,-0.38375,73,
26.01363,26,0,0,73,
26.01364,26,0,0,73,
26.01365,26,0,0,73,
26.04865,26,0,0,73,
26.04866,26,0,0,73,
26.34388,26,0,0,73,
26.51452,26,0,0,73,
26.52057,26,0,0,73,
26.52342,26,0,0,73,
26.52343,26,0,0,73,
26.59989,26,0,0,73,
38.02125,38,0,0,73,
38.02126,38,0,0,73,
38.04293,38,0,0,73,
38.06654,38,0,0,73,
38.11962,38,0,0,73,
38.13412,38,0,0,73,
38.22722,38,0,0,73,
74.05743,74,52.21107,0.11089,73,
74.09009,74,52.20162,0.07293,73,
74.09235,74,52.18654,0.13924,73,
74.09237,74,52.16192,0.11175,73,
74.10327,74,52.08486,0.15644,73,
74.10328,74,52.06894,0.18418,73,
74.28953,74,52.215,0.12602,73,
74.2896,74,52.21209,0.11618,73,
74.3127,74,52.20477,0.12395,73,
74.31271,74,52.20066,0.12089,73,
74.31272,74,52.2053,0.11687,73,
74.35462,74,52.0873,0.14974,73,
74.35463,74,52.09511,0.13442,73,
74.3554,74,52.20471,0.14116,73,
74.35541,74,52.19947,0.13467,73,
74.35542,74,52.20661,0.12794,73,
74.37552,74,52.20881,0.13149,73,
74.38076,74,52.10385,0.14858,73,
74.39323,74,52.19749,0.10547,73,
74.41792,74,52.15184,0.09434,73,
74.46217,74,52.13026,0.11708,73,
74.46229,74,52.10764,0.12791,73,
74.48954,74,52.21206,0.11944,73,
74.48955,74,52.20856,0.12148,73,
74.48956,74,52.20834,0.11771,73,
74.49364,74,52.17088,0.06872,73,
74.49367,74,52.20128,0.13439,73,
74.49369,74,52.20025,0.12129,73,
74.49468,74,52.19631,0.11522,73,
74.49469,74,52.202,0.1179,73,
74.4947,74,52.2009,0.11965,73,
74.49471,74,52.1979,0.12193,73,
87.04981,87,51.67661,-0.01395,73,
87.04982,87,51.68561,-0.04849,73,
87.05143,87,51.68432,-0.20873,73,
87.05144,87,51.69241,-0.23339,73,
87.10595,87,51.69613,-0.09399,73,
87.10596,87,51.68487,-0.07024,73,
87.10597,87,51.68842,-0.10667,73,
87.18499,87,51.68985,-0.12866,73,
87.18501,87,51.6843,-0.16494,73,
87.31358,87,51.6859,-0.18347,73,
87.31779,87,51.72939,-0.19772,73,
87.39688,87,51.68162,-0.02022,73,
87.3969,87,51.68261,-0.04801,73,
87.49976,87,51.69516,-0.24003,73,
87.49977,87,51.69044,-0.23472,73,
100.10817,100,0,0,70,
100.10818,100,0,0,70,
100.11127,100,47.50312,19.06607,70,
100.11128,100,0,0,70,
100.11129,100,0,0,70,
100.11557,100,0,0,70,
100.11558,100,0,0,70,
100.11559,100,0,0,70,
100.50417,100,0,0,70,
100.50427,100,0,0,70,
100.50428,100,0,0,70,
